,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
170,TOM,T,THOMSON ADMIN USP,O,Thomson Admin USP,41.969953,-90.104878,FCI,Low,1100 ONE MILE ROAD,,THOMSON,IL,61285,2078.0,41.969953,-90.104878
171,TRV,T,THREE RIVERS FCI,O,Three Rivers FCI,28.447770202636647,-98.32241177558899,FCI,Medium,US HIGHWAY 72 WEST,,THREE RIVERS,TX,78071,1204.0,28.447770202636647,-98.32241177558899
172,TCN,T,TUCSON FCI,O,Tucson FCI,32.08849219605296,-110.85797846317291,,,8901 S. WILMOT ROAD,,TUCSON,AZ,85756,418.0,32.08849219605296,-110.85597846317292
173,TCP,T,TUCSON USP,O,Tucson USP,32.08849219605296,-110.85797846317291,,,9300 SOUTH WILMOT ROAD,,TUCSON,AZ,85756,1107.0,32.08849219605296,-110.85997846317291
174,VIM,T,VICTORVILLE MED I FCI,O,Victorville Med I FCI,34.57220331752011,-117.36047387123108,,,13777 AIR EXPRESSWAY BLVD,,VICTORVILLE,CA,92394,1664.0,34.57220331752011,-117.35847387123108
175,VVM,T,VICTORVILLE MED II FCI,O,Victorville Med II FCI,34.57220331752011,-117.36047387123108,,,13777 AIR EXPRESSWAY BLVD,,VICTORVILLE,CA,92394,1494.0,34.57393536832768,-117.36147387123108
176,VIP,T,VICTORVILLE USP,O,Victorville USP,34.57220331752011,-117.36047387123108,,,13777 AIR EXPRESSWAY BLVD,,VICTORVILLE,CA,92394,1139.0,34.570471266712545,-117.36147387123108
177,WAS,T,WASECA FCI,O,Waseca FCI,44.0658184987203,-93.51654767990112,FCI,Low,"1000 UNIVERSITY DR, SW",,WASECA,MN,56093,858.0,44.0658184987203,-93.51654767990112
178,WIL,T,WILLIAMSBURG FCI,O,Williamsburg FCI,33.58941958610805,-79.8901104927063,FCI,Medium,8301 HIGHWAY 521,,SALTERS,SC,29590,1295.0,33.58941958610805,-79.8901104927063
179,YAN,T,YANKTON FPC,O,Yankton FPC,42.87985586556123,-97.3919802904129,FPC,Minimum,1016 DOUGLAS AVENUE,,YANKTON,SD,57078,477.0,42.87985586556123,-97.3919802904129
